Species,Height,Diameter,Leaf_area,Canopy_size,CO2
Celtis australis,8.0,21.0,57.0,28.3,1.0
Celtis australis,8.0,22.0,62.0,28.3,1.1
Celtis australis,8.0,18.0,65.2,28.3,0.9
Celtis australis,8.0,22.0,70.0,28.3,1.1
Celtis australis,8.0,19.0,66.5,28.3,1.0
Celtis australis,8.0,19.0,51.2,28.3,1.0
Celtis australis,8.0,19.0,51.2,28.3,1.0
Celtis australis,8.0,22.0,57.9,28.3,1.1
Celtis australis,8.0,19.0,58.8,28.3,1.0
Celtis australis,8.0,23.0,67.0,28.3,1.1
Celtis australis,8.0,25.0,73.2,28.3,1.2
Celtis australis,6.0,12.0,33.4,19.6,0.7
Celtis australis,6.0,12.0,31.5,19.6,0.7
Celtis australis,8.0,18.0,61.5,28.3,0.9
Celtis australis,8.0,19.0,66.5,28.3,1.0
Celtis australis,7.0,16.0,39.0,19.6,0.8
Celtis australis,8.0,19.0,133.9,50.3,1.0
Celtis australis,7.0,18.0,48.0,28.3,0.9
Celtis australis,4.0,6.0,3.2,1.8,0.4
Celtis australis,4.0,7.0,3.0,1.8,0.5
Celtis australis,5.0,12.0,19.4,12.6,0.7
Celtis australis,5.0,13.0,16.6,12.6,0.7
Celtis australis,4.0,7.0,3.4,1.8,0.5
Tilia cordata,5.0,18.0,23.9,12.6,2.4
Tilia cordata,4.0,11.0,8.8,4.9,1.3
Tilia cordata,4.0,15.0,22.4,12.6,1.9
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,6.0,18.0,36.6,15.9,2.4
Tilia cordata,4.5,7.0,2.9,0.8,0.7
Tilia cordata,4.5,7.0,2.5,0.8,0.7
Tilia cordata,5.0,15.0,20.9,12.6,1.9
Tilia cordata,6.0,17.0,28.1,12.6,2.3
Tilia cordata,4.0,8.0,3.3,0.8,0.8
Tilia cordata,4.0,7.0,4.3,1.8,0.7
Tilia cordata,5.0,17.0,24.9,12.6,2.3
Tilia cordata,3.5,6.0,4.4,3.1,0.6
Tilia cordata,4.0,21.0,34.5,15.9,3.0
Celtis australis,4.0,7.0,3.2,1.8,0.5
Celtis australis,5.0,10.0,8.0,4.9,0.6
Celtis australis,4.0,7.0,3.6,1.8,0.5
Celtis australis,5.0,12.0,8.6,4.9,0.7
Celtis australis,5.0,11.0,7.4,4.9,0.7
Celtis australis,6.0,19.0,60.6,28.3,1.0
Celtis australis,6.0,18.0,59.4,28.3,0.9
Celtis australis,8.0,22.0,70.0,28.3,1.1
Tilia cordata,4.0,12.0,10.6,7.1,1.4
Tilia cordata,5.0,16.0,25.9,12.6,2.1
